Date,Amount,Vendor,Status,Duplicate
2023-03-18,4569,VendorC,Pending,0
2023-03-07,4520,VendorA,Pending,1
2023-02-02,814,VendorB,Processed,1
2023-06-17,4175,VendorB,Failed,1
2023-02-28,2546,VendorB,Processed,1
2023-06-08,4263,VendorB,Pending,1
2023-04-17,375,VendorC,Processed,0
2023-05-12,1234,VendorB,Failed,0
2023-07-15,4963,VendorA,Processed,0
2023-03-23,356,VendorD,Pending,0
2023-06-27,2695,VendorB,Failed,0
2023-06-23,921,VendorC,Processed,0
2023-05-17,3034,VendorB,Failed,0
2023-03-15,3399,VendorA,Pending,0
2023-03-27,2535,VendorB,Processed,0
2023-01-29,3437,VendorB,Failed,1
2023-05-27,1820,VendorB,Pending,0
2023-05-10,3324,VendorD,Pending,1
2023-07-11,2489,VendorA,Failed,0
2023-05-04,2287,VendorA,Pending,0
2023-03-02,1689,VendorB,Failed,0
2023-05-21,1028,VendorB,Pending,1
2023-06-16,1262,VendorC,Pending,0
2023-02-06,3631,VendorB,Failed,1
2023-07-14,2054,VendorA,Failed,0
2023-01-30,2845,VendorA,Failed,0
2023-05-16,2013,VendorC,Failed,0
2023-06-15,2703,VendorD,Processed,0
2023-06-07,124,VendorC,Pending,1
2023-03-24,3862,VendorA,Processed,1
2023-07-02,3986,VendorC,Failed,0
2023-07-07,3711,VendorD,Pending,0
2023-04-04,2518,VendorD,Failed,1
2023-04-26,3191,VendorC,Failed,0
2023-04-28,4012,VendorD,Pending,1
2023-03-10,4835,VendorB,Failed,1
2023-01-12,2322,VendorD,Pending,1
2023-02-25,3291,VendorB,Processed,0
2023-03-10,4835,VendorB,Failed,1
2023-05-20,1996,VendorD,Processed,0
2023-04-24,3398,VendorC,Pending,1
2023-02-08,1307,VendorC,Processed,1
2023-07-19,994,VendorD,Failed,0
2023-07-08,4625,VendorC,Processed,0
2023-04-13,4282,VendorA,Failed,1
2023-06-29,3565,VendorD,Pending,1
2023-01-08,3568,VendorB,Pending,0
2023-04-29,1534,VendorA,Pending,0
2023-04-14,2159,VendorA,Processed,0
2023-06-30,2221,VendorA,Failed,1
2023-06-13,3881,VendorC,Pending,0
2023-03-20,1705,VendorA,Processed,1
2023-01-16,2993,VendorA,Failed,0
2023-05-02,3954,VendorB,Failed,0
2023-05-14,1588,VendorC,Failed,0
2023-01-03,1753,VendorA,Processed,0
2023-06-07,124,VendorC,Pending,1
2023-06-07,124,VendorC,Pending,1
2023-06-24,4503,VendorC,Processed,0
2023-04-01,3065,VendorD,Pending,0
2023-01-04,3364,VendorC,Processed,0
2023-06-01,4362,VendorA,Failed,0
2023-01-17,2263,VendorB,Failed,1
2023-02-21,4171,VendorA,Processed,0
2023-02-08,1307,VendorC,Processed,1
2023-03-30,4564,VendorD,Pending,0
2023-03-31,2123,VendorA,Pending,0
2023-01-07,4473,VendorB,Failed,0
2023-02-15,856,VendorC,Failed,0
2023-04-06,3555,VendorC,Processed,1
2023-01-17,2263,VendorB,Failed,1
2023-01-26,759,VendorB,Processed,0
2023-05-30,3610,VendorD,Pending,1
2023-04-23,194,VendorA,Pending,0
2023-05-28,691,VendorC,Failed,0
2023-04-08,1031,VendorA,Pending,0
2023-01-12,2322,VendorD,Pending,1
2023-04-22,870,VendorC,Processed,0
2023-07-16,1892,VendorA,Failed,0
2023-04-11,4405,VendorA,Processed,0
2023-07-03,830,VendorA,Processed,0
2023-03-06,2351,VendorB,Processed,1
2023-03-09,1171,VendorB,Processed,1
2023-04-12,2710,VendorD,Failed,0
2023-05-26,1963,VendorC,Failed,0
2023-07-05,1923,VendorB,Pending,1
2023-05-03,4945,VendorA,Processed,0
